year,km_driven,mileage,engine,max_power,age,make,model,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,5,>5
2011.0,94000,17.8,1399.0,67.0,12.0,5.858258333333332,3.1550000000000002,0,0,1,0,0,0,1,1,0
2008.0,100000,17.0,1497.0,118.0,15.0,5.9799016301292856,2.0,1,0,0,0,0,1,0,1,0
2016.0,30000,16.0,1497.0,117.3,7.0,5.9799016301292856,9.025,1,0,0,0,0,1,0,0,1
2012.0,75000,18.44,1198.0,75.0,11.0,4.611877162629757,2.95,0,0,0,0,0,1,1,1,0
2019.0,34293,17.6,2179.0,153.86,4.0,4.381194170957776,14.525,0,0,1,0,0,0,1,0,1
2014.0,31000,18.9,1197.0,82.0,9.0,5.4588194834362715,4.532021276595745,0,0,0,0,0,1,1,1,0
2020.0,4386,17.4,1497.0,117.6,3.0,5.9799016301292856,8.920833333333333,0,0,0,0,0,1,1,1,0
2019.0,40000,16.36,2179.0,120.0,4.0,7.315421238244514,12.1875,1,0,1,0,0,0,1,0,1
2018.0,5000,20.89,1197.0,81.8,5.0,4.684721460176991,5.75,1,0,0,0,0,1,0,1,0
2015.0,28000,16.36,2179.0,187.7,8.0,20.187499999999968,20.50990384615382,0,0,1,0,0,0,0,1,0
2017.0,35000,20.14,1197.0,81.86,6.0,5.4588194834362715,5.333333333333333,1,0,0,0,0,1,1,1,0
2018.0,41000,23.01,999.0,67.0,5.0,4.606650943396226,3.6375,0,0,0,0,0,1,1,1,0
2016.0,40125,18.9,1197.0,82.0,7.0,5.4588194834362715,5.1499999999999995,0,0,0,0,0,1,1,1,0
